# {"t_start": 1608789182.3069544} 
r,l,t
26.450363,800,1788.58605
22.705673,800,1804.504608
10.115611,250,1808.419233
26.821953,800,1815.10323
23.79842,800,1840.373549
22.217484,677,1844.870672
23.967697,800,1848.852591
25.977528,800,1864.901513
23.325678,800,1879.204582
16.030638,476,1882.166065
7.385571,135,1891.45869
24.698563,800,1896.319325
23.891052,800,1900.254849
3.4624631,78,1903.752625
12.453784,262,1906.576902
25.213545,800,1907.6643
26.894062,800,1937.364051
24.483036,800,1941.74559
10.592943,179,1941.745629
9.989936,181,1944.689826
25.774323,800,1957.892947
14.217184,440,1979.728987
25.527075,800,1984.737667
25.86481,800,1992.670234
30.706728,800,1999.271364
20.468027,662,2020.482181
27.55902,800,2028.949525
21.424973,766,2032.4711
16.112934,330,2048.620559
32.076534,800,2049.48209
3.6798275,76,2056.123808
8.930738,172,2064.411773
24.994497,800,2072.273298
26.21812,800,2077.36979
25.237907,800,2085.316344
24.15393,800,2112.868442
30.178606,800,2121.152339
24.76923,800,2124.655698
23.838837,706,2139.76428
16.601809,367,2144.96221
32.902023,800,2156.329674
6.917426,142,2157.873495
12.062373,212,2159.463605
26.374203,800,2164.636945
31.73194,800,2169.428609
24.909746,800,2177.117121
11.4941,244,2206.106183
22.390774,800,2212.86705
35.48031,800,2216.306312
15.063016,422,2233.425324
25.560583,800,2246.438745
29.347658,800,2248.051982
25.304667,800,2249.675679
27.331627,800,2258.925254
27.111994,800,2295.360488
32.85895,800,2302.025467
25.141462,800,2305.511384
23.494694,637,2309.5896
20.087484,413,2315.489041
23.675154,800,2336.673367
13.801452,256,2337.538423
31.695532,800,2338.815094
26.870207,800,2340.404723
23.950535,800,2386.1127
13.76358,332,2387.48105
25.409693,800,2393.520743
24.521524,800,2397.068389
27.42095,800,2401.369888
24.98946,800,2428.277354
21.877773,800,2429.936276
27.370098,800,2431.629018
15.33507,292,2476.61889
25.249783,800,2478.919578
30.119987,800,2480.276068
25.190115,800,2486.644889
34.424862,800,2490.354357
23.813686,800,2494.534695
4.4447274,126,2501.20113
16.43283,320,2507.900035
29.489689,659,2511.378483
28.208902,800,2520.922272
26.1583,800,2568.089821
16.899233,480,2570.329219
31.563492,800,2571.715285
